m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=15,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
m=5, n=1, i=0, fi=20,     band=20,5,     Ссылка на объект не указывает на экземпляр объекта.,     
